City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
294,Itacarambi,BR,-15.1022,-44.0919,94.89,26,18,5.97,few clouds
295,Chimbote,PE,-9.0853,-78.5783,67.87,72,79,7.38,broken clouds
296,Ziarat,PK,30.3823,67.7282,62.42,65,72,2.04,broken clouds
297,Vestmanna,FO,62.1564,-7.1664,41.92,93,75,14.97,broken clouds
298,Ribas Do Rio Pardo,BR,-20.4431,-53.7592,97.63,17,39,7.81,scattered clouds
299,Taiobeiras,BR,-15.8078,-42.2331,83.48,36,66,7.38,broken clouds
300,Ancud,CL,-41.8697,-73.8203,55.42,72,95,11.27,overcast clouds
301,Pimentel,PE,-6.8367,-79.9342,70.09,64,0,9.22,clear sky
302,Abay,KZ,49.6311,72.8539,41.38,67,94,12.46,overcast clouds
303,Nantucket,US,41.2835,-70.0995,79.61,78,90,14.97,overcast clouds
304,Samana,DO,19.2056,-69.3369,88.02,70,40,4.61,scattered clouds
305,Knysna,ZA,-34.0363,23.0471,62.98,83,37,8.93,scattered clouds
306,Muli,MV,2.9167,73.5667,83.35,77,75,17.83,broken clouds
307,Parczew,PL,51.6402,22.9006,57.81,76,100,14.12,light rain
308,Ostersund,SE,63.1792,14.6357,43.25,100,20,8.05,few clouds
309,Cotacachi,EC,0.3,-78.2667,69.35,60,100,4.92,light rain
310,Codrington,AU,-38.2667,141.9667,51.33,89,21,15.55,few clouds
311,Ponta Delgada,PT,37.7333,-25.6667,72.32,64,20,11.5,few clouds
312,Garissa,KE,-0.4536,39.6401,84.06,45,93,24.72,overcast clouds
313,Mantua,IT,45.1667,10.7833,72.64,68,73,1.01,broken clouds
314,Qasigiannguit,GL,68.8193,-51.1922,25.05,66,100,2.93,overcast clouds
315,Pangnirtung,CA,66.1451,-65.7125,32.0,74,75,12.66,broken clouds
316,Eyrarbakki,IS,63.863,-21.1481,43.84,95,100,15.39,overcast clouds
